3;4;2025-01-10;2025-01-20;True
4;3;2025-01-15;2025-01-25;True
5;2;2025-01-18;2025-02-01;True
6;7;2025-02-10;2025-02-20;True
7;8;2025-02-12;2025-02-22;True
8;9;2025-02-15;2025-02-28;True
9;1;2025-02-17;2025-02-27;True
10;10;2025-02-20;2025-03-01;True
1;5;2025-02-25;2025-03-05;True
2;6;2025-02-28;2025-03-10;True
3;7;2025-03-01;2025-03-11;False
4;8;2025-03-03;2025-03-13;False
5;9;2025-03-05;2025-03-15;False
6;10;2025-03-06;2025-03-16;True
7;1;2025-03-07;2025-03-17;False
8;2;2025-03-08;2025-03-18;True
9;3;2025-03-09;2025-03-19;False
10;4;2025-03-10;2025-03-20;False
1;6;2025-03-11;2025-07-21;False
2;5;2025-03-12;2025-03-22;True
1;5;2025-05-25;2025-08-01;False
4;2;2025-05-25;2025-08-07;False
1;10;2025-05-26;2025-06-27;True
